
"site","raceeth","q6orig","q7orig","record","orig_rec","q1","q2","q3","q4","q5","q6","q7","QN8","QN9","QN10","QN11","QN12","QN13","QN14","QN15","QN16","QN17","QN18","QN19","QN20","QN21","QN22","QN23","QN24","QN25","QN26","QN27","QN28","QN29","QN30","QN31","QN32","QN33","QN34","QN35","QN36","QN37","QN38","QN39","QN40","QN41","QN42","QN43","QN44","QN45","QN46","QN47","QN48","QN49","QN50","QN51","QN52","QN53","QN54","QN55","QN56","QN57","QN58","QN59","QN60","QN61","QN62","QN66","QN67","QN68","QN69","QN70","QN71","QN72","QN73","QN74","QN75","QN76","QN77","QN78","QN79","QN80","QN81","QN82","QN83","QN84","QN85","QN86","QN87","QN88","QN89","QN90","QN91","QN92","QN93","QN94","QN95","QN96","QN97","QN98","QN99","QN100","QN101","QN102","QN103","QN104","QN105","QN106","QN107","qnfrcig","qndaycig","qnfrevp","qndayevp","qnfrskl","qndayskl","qnfrcgr","qndaycgr","qntb2","qntb3","qntb4","qntb5","qniudimp","qnothhpl","qndualbc","qnbcnone","qnfr0","qnfr1","qnfr2","qnveg0","qnveg1","qnveg2","qnveg3","qnsoda1","qnsoda2","qnbk7day","qnpa0day","qnpa7day","qndlype","qnnodnt","qnspdrk1","qnspdrk2","qnwater1","qnwater2","qnwater3","qnillict","BMIPCT","qnowt","qnobese","weight","stratum","psu"
"XX",,"505","180",1.00,,"3","1","1",,"  C",1.65,81.65,1.00,1.00,,,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,2.00,2.00,,2.00,2.00,,2.00,2.00,2.00,2.00,,2.00,2.00,2.00,1.00,2.00,2.00,2.00,,2.00,2.00,2.00,2.00,2.00,2.00,,,,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,,2.00,,2.00,2.00,1.00,2.00,,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,97.08,2.00,1.00,0.86,103.00,16294.00
"XX","5","N N","233",2.00,,"4","2","1","2","    E",,,2.00,2.00,,,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,2.00,2.00,,2.00,2.00,,2.00,2.00,2.00,2.00,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,,,,0.89,103.00,16294.00
"XX","5","506","165",3.00,,"5","2","3","2","    E",1.68,74.84,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,92.26,1.00,2.00,0.50,103.00,16294.00
"XX","5","N N","105",4.00,,"6","1","2","2","    E",,,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.17,103.00,16294.00
"XX","5","601","125",5.00,,"3","2","1","2","    E",1.85,56.70,2.00,2.00,,,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,,1.00,2.00,,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,7.56,2.00,2.00,0.89,103.00,16294.00
"XX","5","511","160",6.00,,"5","2","1","2","    E",1.80,72.58,1.00,2.00,,,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,1.00,2.00,,2.00,2.00,,1.00,2.00,2.00,2.00,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,,,,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,68.88,2.00,2.00,0.89,103.00,16294.00
"XX","5","600","165",7.00,,"6","2","3","2","    E",1.83,74.84,2.00,2.00,,,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,60.47,2.00,2.00,0.50,103.00,16294.00
"XX","5","500","162",8.00,,"4","1","1","2","    E",1.52,73.48,1.00,2.00,,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,2.00,2.00,,2.00,2.00,,2.00,2.00,2.00,2.00,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,1.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,97.53,2.00,1.00,0.86,103.00,16294.00
"XX","8","505","135",9.00,,"4","2","1","2"," BC",1.65,61.24,2.00,2.00,,,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,,1.00,2.00,,2.00,2.00,,2.00,2.00,2.00,2.00,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,,,,2.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,,,,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,76.45,2.00,2.00,0.84,103.00,16294.00
"XX","3","504","117",10.00,,"6","1","3","2","  C",1.63,53.07,1.00,2.00,2.00,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,,1.00,2.00,2.00,2.00,2.00,2.00,,2.00,2.00,,2.00,2.00,,2.00,2.00,2.00,2.00,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,34.78,2.00,2.00,0.81,103.00,16294.00
